future_profitable,future_price_up,future_long_bias,future_volatility,future_pnl,future_net_result
0.0,0,0.4,11505.33866930821,0.0,-0.3278281
0.0,0,0.2,11508.910695065728,0.0,-0.32877928
1.0,0,0.2,9396.98623272365,178.05177,177.72299072
0.0,1,0.4,9475.964153688936,0.0,-0.4
0.0,1,0.6,11605.638498721133,0.0,-0.4
0.0,1,0.6,11605.638498721153,0.0,-0.4
0.0,1,0.6,9475.96415368901,0.0,-0.4
0.0,1,0.4,34.65905364540244,0.0,-0.4
0.0,1,0.2,57.65264954534462,-1.05086,-1.05086
0.0,1,0.0,62.4807330270808,-1.05086,-1.05086
0.0,1,0.0,75.5808639776375,-1.092449,-1.092449
1.0,1,0.0,92.2799668379495,2.6340883,2.2330347
0.0,1,0.0,93.69065225313535,0.0,-0.4010536
0.0,1,0.2,78.59092771828382,0.0,-0.4
0.0,1,0.4,48.94623090313471,0.0,-0.4
0.0,1,0.4,43.007175210931116,0.0,-0.4
0.0,0,0.4,41.53105440055307,0.0,-0.4
0.0,0,0.6,16.26723700016737,0.0,-0.4
0.0,1,0.4,68.65338301659291,-1.1425272,-1.1425272
0.0,1,0.2,85.62325618443671,-1.4275095,-1.4275095
0.0,0,0.2,86.35136362342767,0.0,-0.4
0.0,1,0.2,80.99312933592368,0.0,-0.4
0.0,0,0.2,108.5464278528985,-1.011639,-1.011639
0.0,0,0.4,105.36227977611911,-1.011639,-1.011639
0.0,0,0.6,57.24168061490509,0.0,-0.4
0.0,0,0.8,55.488088808476576,-1.0245175,-1.0245175
0.0,0,1.0,33.28733992999308,0.0,-0.4
1.0,1,0.8,121.89571780673292,1.7743134,1.37330956
0.0,1,0.6,145.26882019078278,-1.1223135,-1.1223135
0.0,1,0.4,155.1974198227042,-1.1223135,-1.1223135
0.0,1,0.2,140.60297158889546,-1.0337688,-1.0337688
0.0,1,0.2,49.80831777556603,0.0,-0.4
0.0,1,0.2,55.197527115199236,0.0,-0.4
0.0,1,0.2,47.39169758127138,0.0,-0.4
0.0,1,0.2,15.965525347962174,0.0,-0.4
0.0,1,0.2,63.45960919860928,-1.1958728,-1.1958728
0.0,1,0.0,77.72183090769036,-1.1958728,-1.1958728
0.0,1,0.0,77.72183090771095,-1.1958728,-1.1958728
0.0,1,0.0,64.05522616968821,0.0,-0.4
0.0,1,0.0,2.7386127241364893,0.0,-0.4
0.0,1,0.0,2.738612724148445,0.0,-0.4
0.0,0,0.2,81.30990099398063,0.0,-0.4
0.0,0,0.4,131.8536006320926,-1.1335087,-1.1335087
0.0,0,0.6,147.71126564905046,-1.0276339,-1.0276339
1.0,0,0.8,130.2287115794477,2.5671477,2.16817456
0.0,0,1.0,52.90110234807836,0.0,-0.39897314
0.0,0,1.0,10.539778443634972,0.0,-0.39897314
0.0,0,0.8,15.71177996410156,0.0,-0.4
0.0,0,0.6,19.230538984644625,0.0,-0.4
0.0,1,0.4,28.198649429372065,0.0,-0.4
0.0,1,0.2,50.697399535307,-1.0146465,-1.0146465
0.0,1,0.0,60.17688924864797,-1.0146465,-1.0146465
0.0,1,0.0,76.5930479850975,-1.1878669,-1.1878669
0.0,1,0.0,61.39660413775321,0.0,-0.4
0.0,0,0.0,64.78097714335489,0.0,-0.4
0.0,0,0.2,76.10211560559162,0.0,-0.4
0.0,0,0.2,87.8207948019413,0.0,-0.4
0.0,0,0.2,44.59291423133196,-1.0123175,-1.0123175
0.0,0,0.2,44.401779239608075,0.0,-0.31985405
0.0,0,0.4,71.74380112344272,-1.0766382,-1.0766382
0.0,0,0.4,84.32073884660863,-1.0766382,-1.0766382
0.0,0,0.6,93.5251998107273,-1.004372,-1.004372
0.0,0,0.8,68.68585734801694,0.0,-0.31846306
0.0,0,1.0,30.506638615683602,0.0,-0.31833565
